Subject,Start Date,Start Time,End Date,End Time,Description
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",04/18/2025,09:30 AM,04/18/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",04/25/2025,09:30 AM,04/25/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №1",05/02/2025,09:30 AM,05/02/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №1",05/09/2025,09:30 AM,05/09/2025,11:05 AM,"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*МСП Пз DL *МСП(ПЗПІ-23-)-2; №1",05/16/2025,09:30 AM,05/16/2025,11:05 AM,"*МСП Пз DL *МСП(ПЗПІ-23-)-2"
"*МСП Лб DL *МСП(ПЗПІ-23-)-2; №2",05/23/2025,09:30 AM,05/23/2025,11:05 AM,"*МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; №3",03/07/2025,11:15 AM,03/07/2025,12:50 PM,"*ОРО Пз DL *ОРО(ПЗПІ-23-)-1"
"*МСП Пз DL *МСП(ПЗПІ-23-)-2; №3",03/14/2025,11:15 AM,03/14/2025,12:50 PM,"*МСП Пз DL *МСП(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №3",03/21/2025,11:15 AM,03/21/2025,12:50 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"*МСП Пз DL *МСП(ПЗПІ-23-)-2; №3",03/28/2025,11:15 AM,03/28/2025,12:50 PM,"*МСП Пз DL *МСП(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №3",04/11/2025,11:15 AM,04/11/2025,12:50 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"ОПJ Пз DL ПЗПІ-23-10; №3",04/18/2025,11:15 AM,04/18/2025,12:50 PM,"ОПJ Пз DL ПЗПІ-23-10"
"*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-2; №3",04/25/2025,11:15 AM,04/25/2025,12:50 PM,"*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №2",05/02/2025,11:15 AM,05/02/2025,12:50 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-2; №2",05/09/2025,11:15 AM,05/09/2025,12:50 PM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*МСП Лб DL *МСП(ПЗПІ-23-)-2; №2",05/16/2025,11:15 AM,05/16/2025,12:50 PM,"*МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №3",05/23/2025,11:15 AM,05/23/2025,12:50 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"*МСП Лб DL *МСП(ПЗПІ-23-)-2; №1",05/30/2025,11:15 AM,05/30/2025,12:50 PM,"*МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №1",06/06/2025,11:15 AM,06/06/2025,12:50 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; №4",03/07/2025,01:10 PM,03/07/2025,02:45 PM,"*ОРО Пз DL *ОРО(ПЗПІ-23-)-1"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №4",03/21/2025,01:10 PM,03/21/2025,02:45 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №4",04/11/2025,01:10 PM,04/11/2025,02:45 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"ОПJ Пз DL ПЗПІ-23-10; №4",04/18/2025,01:10 PM,04/18/2025,02:45 PM,"ОПJ Пз DL ПЗПІ-23-10"
"*МСП Лб DL *МСП(ПЗПІ-23-)-2; №4",04/25/2025,01:10 PM,04/25/2025,02:45 PM,"*МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №3",05/02/2025,01:10 PM,05/02/2025,02:45 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"*МСП Лб DL *МСП(ПЗПІ-23-)-2; №3",05/09/2025,01:10 PM,05/09/2025,02:45 PM,"*МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*МСП Лб DL *МСП(ПЗПІ-23-)-2; №3",05/16/2025,01:10 PM,05/16/2025,02:45 PM,"*МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №4",05/23/2025,01:10 PM,05/23/2025,02:45 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"*МСП Лб DL *МСП(ПЗПІ-23-)-2; №2",05/30/2025,01:10 PM,05/30/2025,02:45 PM,"*МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; №2",06/06/2025,01:10 PM,06/06/2025,02:45 PM,"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-10; №1",03/08/2025,07:45 AM,03/08/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Пз DL ПЗПІ-23-10; №1",03/15/2025,07:45 AM,03/15/2025,09:20 AM,"ОПJ Пз DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №1",03/22/2025,07:45 AM,03/22/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №1",03/29/2025,07:45 AM,03/29/2025,09:20 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №1",04/05/2025,07:45 AM,04/05/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №1",04/12/2025,07:45 AM,04/12/2025,09:20 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №1",04/19/2025,07:45 AM,04/19/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №1",04/26/2025,07:45 AM,04/26/2025,09:20 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №1",05/03/2025,07:45 AM,05/03/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №1",05/10/2025,07:45 AM,05/10/2025,09:20 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №1",05/17/2025,07:45 AM,05/17/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №1",05/24/2025,07:45 AM,05/24/2025,09:20 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №1",05/31/2025,07:45 AM,05/31/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №1",06/07/2025,07:45 AM,06/07/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №2",03/08/2025,09:30 AM,03/08/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Пз DL ПЗПІ-23-10; №2",03/15/2025,09:30 AM,03/15/2025,11:05 AM,"ОПJ Пз DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №2",03/22/2025,09:30 AM,03/22/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №2",03/29/2025,09:30 AM,03/29/2025,11:05 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №2",04/05/2025,09:30 AM,04/05/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №2",04/12/2025,09:30 AM,04/12/2025,11:05 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №2",04/19/2025,09:30 AM,04/19/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №2",04/26/2025,09:30 AM,04/26/2025,11:05 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №2",05/03/2025,09:30 AM,05/03/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №2",05/10/2025,09:30 AM,05/10/2025,11:05 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №2",05/17/2025,09:30 AM,05/17/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-10"
"ОПJ Лб DL ПЗПІ-23-10; №2",05/24/2025,09:30 AM,05/24/2025,11:05 AM,"ОПJ Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №2",05/31/2025,09:30 AM,05/31/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-10"
"ОС Лб DL ПЗПІ-23-10; №2",06/07/2025,09:30 AM,06/07/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-10"
